//wait	startindex	R,G,B Colors...
17	17	248,224,104	240,168,40	216,96,8	176,216,240	96,136,240
17	17	248,224,112	240,168,48	216,104,8	176,216,240	96,136,240
17	17	248,232,112	240,176,48	216,112,8	176,216,240	96,136,240
17	17	248,240,104	240,184,40	224,120,16	176,216,240	96,136,240
17	17	248,240,104	248,184,40	232,128,16	176,216,240	96,136,240
17	17	248,232,104	248,176,48	216,104,8	176,216,240	96,136,240
17	17	248,224,104	240,168,40	216,96,8	192,216,240	104,144,240
17	17	248,224,112	240,168,48	216,104,8	176,200,240	120,160,240
17	17	248,232,112	240,176,48	216,112,8	168,224,240	104,144,240
17	17	248,240,104	240,184,40	224,120,16	176,216,240	96,136,240
17	17	248,240,104	248,184,40	232,128,16	176,216,240	96,136,240
17	17	248,232,104	248,176,48	216,104,8	176,216,240	96,136,240
17	17	248,224,104	240,168,40	216,96,8	176,216,240	96,136,240
17	17	248,224,112	240,168,48	216,104,8	176,216,240	96,136,240
17	17	248,232,112	240,176,48	216,112,8	168,216,240	96,136,240
17	17	248,240,104	240,184,40	224,120,16	160,200,240	88,136,240
17	17	248,240,104	248,184,40	232,128,16	176,208,248	72,128,248
17	17	248,232,104	248,176,48	216,104,8	200,200,240	80,136,240
