//wait	startindex	R,G,B Colors...
17	17	248,224,104	240,168,40	216,96,8	208,176,240	136,96,240
17	17	248,224,112	240,168,48	216,104,8	208,176,240	136,96,240
17	17	248,232,112	240,176,48	216,112,8	208,176,240	136,96,240
17	17	248,240,104	240,184,40	224,120,16	208,176,240	136,96,240
17	17	248,240,104	248,184,40	232,128,16	208,176,240	136,96,240
17	17	248,232,104	248,176,48	216,104,8	208,176,240	136,96,240
17	17	248,224,104	240,168,40	216,96,8	200,192,240	144,104,240
17	17	248,224,112	240,168,48	216,104,8	208,176,240	160,120,240
17	17	248,232,112	240,176,48	216,112,8	224,168,240	144,104,240
17	17	248,240,104	240,184,40	224,120,16	208,176,240	136,96,240
17	17	248,240,104	248,184,40	232,128,16	208,176,240	136,96,240
17	17	248,232,104	248,176,48	216,104,8	208,176,240	136,96,240
17	17	248,224,104	240,168,40	216,96,8	208,176,240	136,96,240
17	17	248,224,112	240,168,48	216,104,8	208,176,240	136,96,240
17	17	248,232,112	240,176,48	216,112,8	208,176,240	136,96,240
17	17	248,240,104	240,184,40	224,120,16	208,176,240	136,96,240
17	17	248,240,104	248,184,40	232,128,16	200,184,248	144,88,240
17	17	248,232,104	248,176,48	216,104,8	200,184,240	144,88,240
