//wait	startindex	R,G,B Colors...
17	17	248,224,104	240,168,40	216,96,8	200,240,48	56,168,96
17	17	248,224,112	240,168,48	216,104,8	200,240,48	56,168,96
17	17	248,232,112	240,176,48	216,112,8	200,240,48	56,168,96
17	17	248,240,104	240,184,40	224,120,16	216,240,72	64,176,72
17	17	248,240,104	248,184,40	232,128,16	224,248,88	72,192,56
17	17	248,232,104	248,176,48	216,104,8	208,240,72	64,168,96
17	17	248,224,104	240,168,40	216,96,8	184,240,48	56,168,96
17	17	248,224,112	240,168,48	216,104,8	200,240,48	56,168,96
17	17	248,232,112	240,176,48	216,112,8	200,240,48	56,168,96
17	17	248,240,104	240,184,40	224,120,16	200,240,48	56,168,96
17	17	248,240,104	248,184,40	232,128,16	200,240,48	56,168,96
17	17	248,232,104	248,176,48	216,104,8	216,240,40	56,168,96
17	17	248,224,104	240,168,40	216,96,8	232,248,64	88,168,88
17	17	248,224,112	240,168,48	216,104,8	216,240,48	80,184,88
17	17	248,232,112	240,176,48	216,112,8	176,232,56	96,192,72
17	17	248,240,104	240,184,40	224,120,16	200,240,48	72,176,80
17	17	248,240,104	248,184,40	232,128,16	200,240,48	56,168,96
17	17	248,232,104	248,176,48	216,104,8	200,240,48	56,168,96
